image_name,base_truth,ocr_output,character_accuracy,levenshtein_distance,CER,WER
img1001.jpg,the alpaca shop OPEN Alpaca clothing including hats,,0.0,51,1.0,6.375
img1002.jpg,CONSTRUCTIONS PhFax PTY SCHOLZ LTD BUILDERS 0883983606,"sen

CONSTRUCTIONS

(OUNT BARKER

Ph/Fax (08)8398

MOBILE 0412 820869 A/H08 6391 1506

",-0.05555555555555558,57,1.0555555555555556,7.285714285714286
img1003.jpg,FUEL Peters SPECIALS SWAPnGO ILK,,0.0,32,1.0,6.4
img1004.jpg,FRESH produce our own MAX NOSKE SON COUNTRY MEAT We,,0.0,51,1.0,5.1
img1005.jpg,WIDE OUR SELECTION BROWSE COME OF AND IN HAHNDORF NEWSAGENCY GIFTS,"PAHNDORE
@EWSAGENC)-

are 4

ra) COME IN AND ay

mes BROWSEOUR ™
WIDE SELECTION OF

",0.0757575757575758,61,0.9242424242424242,5.090909090909091
img1006.jpg,HOME FUDGE HAHNDORE ORIGINAL HAHNDOFR THE HAHNDOFR OF HUMBUGS HUMBUGS,"HHOUMBUGS

HAHNDORF

HOME OF THE
ORIGINAL
HAHNDORF
FUDGE
",0.30434782608695654,48,0.6956521739130435,4.3
img1007.jpg,OSCARS HAHNDORF OF LIGHTING HANDBAGS SHOES CLOTHING JEWELLERY GIFTWARE HOME DECOR FURNITURE,,0.0,91,1.0,7.583333333333333
img1008.jpg,CONNOISSENR CONFECTIONERY,"an iid ddl <i nd Aes 0 in ae 1 i ee rn |
",-0.6000000000000001,40,1.6,19.5
img1009.jpg,PARKING REAR P HAHNDOPS AT 2015 EST AUTHENTIC ITALIAN CUISINE BREAKFAST LUNCH DINNER gepettos,"PARKING |
AT REAR |

",0.17204301075268813,77,0.8279569892473119,5.428571428571429
img1010.jpg,HAHNDORF EST 2015 AUTHENTIC ITALIAN CUISINE gepettos BREAKFAST LUNCH DINNER,"ase

YTALIAN &

_——<—
=

EST 2015

",0.1466666666666666,64,0.8533333333333334,6.1
img1011.jpg,Hotel German Old COMING EVENTS hotbrauhaus The Experience at the Handorf Mill,". 5 COMING EVENTS |

",0.20779220779220775,61,0.7922077922077922,5.083333333333333
img1012.jpg,CEDARS BRASSERIE hobrauhaus,"| Sees

aS =Az ie C= RPAESSES

= Hotfrauhaus ~
",-0.14814814814814814,31,1.1481481481481481,9.333333333333334
img1013.jpg,CAFE THE SEASONAL GARDEN ORGANIC SEASONAL WHOLEFOOD,"ORGANIC
SEASONAL
WHOLE FOOD

",0.4117647058823529,30,0.5882352941176471,3.7142857142857144
img1014.jpg,OLD MILL RECEPTIO HOTEL MOTEL,,0.0,29,1.0,5.8
img1015.jpg,TOWN Delicious BEST CHOOSE IN OUR ENJOY HotDogs,,0.0,47,1.0,5.875
img1016.jpg,DOOR CELLAR AND HERSEY,"“CELLAR DOOR

«> AND
",0.18181818181818177,18,0.8181818181818182,3.75
